0,台北,A1,10001,開
1,台東,A2,10002,高
2,廣州,A3,10003,低
3,台南,A4,10004,收
4,美國,A5,10005,步步
5,的周,A6,10006,圍盈
6,西方,A7,10007,開
7,東寮,A8,10008,高
8,阮國,A9,10009,低
9,西西李,A10,10010,收
10,義大利,A11,10011,步步
11,伏羲,A12,10012,圍盈
12,神若,A13,10013,低
13,英國,A14,10014,收
14,歐洲,A15,10015,步步
15,澳洲,A16,10016,圍盈
16,義大利,A17,10017,開
17,亞洲,A18,10018,高
18,霏霏,A19,10019,低
19,宜蘭,A20,10020,收
20,屏東,A21,10021,步步
21,花蓮,A22,10022,圍盈
22,上海,A23,10023,低
23,身鎮,A24,10024,收
24,香港,A25,10025,步步
25,復興,A26,10026,圍盈
26,文化里,A27,10027,開
27,浮華李,A28,10028,高
28,忠孝,A29,10029,低
29,東路,A30,10030,收
30,南港,A31,10031,開
31,內湖,A32,10032,高
32,西湖,A33,10033,低
33,東湖,A34,10034,開
34,東吳,A35,10035,開
35,輔大,A36,10036,高
36,台大,A37,10037,低
37,機機,A38,10038,收
38,你媽,A39,10039,步步
39,機掰,A40,10040,圍盈
